Model,AUC,accuracy,precision,recall,f1-score,support
Logistic,0.6989795918367346,0.6896551724137931,0.6006296135475466,0.6321935606540754,0.6043349660762292,435.0
Neural_Network,0.7779186208644949,0.7379310344827587,0.6510303954357662,0.6946222588414248,0.6612149532710281,435.0
Random_Forest,0.8813220940550134,0.8229885057471265,0.7427751750276359,0.7923057421726454,0.7606491307050829,435.0
XGBoost,0.8969134237545949,0.8137931034482758,0.7422926617455493,0.8182912916719483,0.7626009796457375,435.0
